name,prompt,negative_prompt
r087,"modern, tasty, attractive food photography of Golden Sesame Ginger Turkey Pasta Pot, turkey mince, wholewheat pasta, courgette, mushroom, sesame oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r105,"modern, tasty, attractive food photography of Zesty Chipotle Beef Energy Bowl, beef mince, potatoes, courgette, mushroom, sesame oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r106,"modern, tasty, attractive food photography of Creamy BBQ Cod Prep Box, cod fillet, quinoa, onion, green beans, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r109,"modern, tasty, attractive food photography of Mega Teriyaki Tuna (Canned) Build Bowl, tuna (canned), potatoes, tomato, sweet potato, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r115,"modern, tasty, attractive food photography of Super Harissa Beef Pasta Pot, beef mince, wholewheat pasta, spinach, onion, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r118,"modern, tasty, attractive food photography of Super Garlic Herb Salmon Energy Bowl, salmon fillet, potatoes, sweet potato, mushroom, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r119,"modern, tasty, attractive food photography of Power Tikka Chicken Pasta Pot, chicken breast, noodles (rice), green beans, green beans, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r120,"modern, tasty, attractive food photography of Sizzling Teriyaki Turkey Fuel Box, turkey mince, quinoa, courgette, mushroom, yogurt, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r128,"modern, tasty, attractive food photography of Loaded Honey Mustard Cod Pasta Pot, cod fillet, noodles (rice), sweet potato, broccoli, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r135,"modern, tasty, attractive food photography of Ultimate Buffalo Salmon Pasta Pot, salmon fillet, noodles (rice), sweet potato, sweet potato, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r137,"modern, tasty, attractive food photography of Power BBQ Chicken Prep Box, chicken breast, potatoes, sweet potato, onion, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r138,"modern, tasty, attractive food photography of Supreme Korean BBQ Tofu Energy Bowl, tofu, rice, courgette, sweet potato, tahini, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r143,"modern, tasty, attractive food photography of Ultimate Lemon Pepper Turkey Energy Bowl, turkey mince, quinoa, mushroom, sweet potato, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r144,"modern, tasty, attractive food photography of Ultimate Buffalo Tofu Pasta Pot, tofu, wholewheat pasta, green beans, courgette, yogurt, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r146,"modern, tasty, attractive food photography of Zesty Sesame Ginger Tempeh Power Bowl, tempeh, couscous, bell pepper, green beans, sesame oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r147,"modern, tasty, attractive food photography of Fiery Teriyaki Tempeh Pasta Pot, tempeh, noodles (rice), sweet potato, green beans, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r148,"modern, tasty, attractive food photography of Golden Cajun Prawns Build Bowl, prawns, rice, green beans, courgette, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r151,"modern, tasty, attractive food photography of Creamy Honey Mustard Tuna (Canned) Pasta Pot, tuna (canned), wholewheat pasta, courgette, green beans, yogurt, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r155,"modern, tasty, attractive food photography of Spicy Garlic Herb Beef Macro Bowl, beef mince, potatoes, green beans, tomato, yogurt, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r156,"modern, tasty, attractive food photography of Creamy Indian Spiced Cod Lift Pot, cod fillet, brown rice, sweet potato, sweet potato, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r158,"modern, tasty, attractive food photography of Crispy Lemon Pepper Salmon Energy Bowl, salmon fillet, potatoes, green beans, onion, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r161,"modern, tasty, attractive food photography of Spicy Mediterranean Tempeh Lift Pot, tempeh, brown rice, broccoli, tomato, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r162,"modern, tasty, attractive food photography of Loaded Satay Beef Power Bowl, beef mince, couscous, spinach, courgette, tahini, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r163,"modern, tasty, attractive food photography of Sticky Thai Coconut Cod Pasta Pot, cod fillet, noodles (rice), onion, mushroom, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r165,"modern, tasty, attractive food photography of Power BBQ Prawns Power Bowl, prawns, rice, bell pepper, tomato, yogurt, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r170,"modern, tasty, attractive food photography of Loaded Thai Coconut Turkey Prep Box, turkey mince, rice, sweet potato, tomato, sesame oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r171,"modern, tasty, attractive food photography of Crispy Sesame Ginger Tempeh Macro Bowl, tempeh, couscous, bell pepper, onion, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, vegan, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r173,"modern, tasty, attractive food photography of Smoky Lemon Pepper Salmon Energy Bowl, salmon fillet, brown rice, broccoli, carrot, sesame oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r174,"modern, tasty, attractive food photography of Sizzling Cajun Tuna (Canned) Pasta Pot, tuna (canned), noodles (rice), spinach, mushroom, sesame oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r175,"modern, tasty, attractive food photography of Sticky Garlic Herb Salmon Lift Pot, salmon fillet, brown rice, courgette, carrot, sesame oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r176,"modern, tasty, attractive food photography of Spicy Cajun Cod Energy Bowl, cod fillet, potatoes, onion, green beans, olive oil, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r178,"modern, tasty, attractive food photography of Supreme Tikka Chicken Power Bowl, chicken breast, couscous, green beans, mushroom, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r179,"modern, tasty, attractive food photography of Tangy Mediterranean Turkey Pasta Pot, turkey mince, noodles (rice), broccoli, mushroom, peanut butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r180,"modern, tasty, attractive food photography of Tangy Indian Spiced Salmon Pasta Pot, salmon fillet, wholewheat pasta, broccoli, spinach, tahini, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r182,"modern, tasty, attractive food photography of Golden Peri-Peri Salmon Energy Bowl, salmon fillet, couscous, carrot, onion, butter, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, air-fryer, pescatarian, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
r190,"modern, tasty, attractive food photography of Super Buffalo Chicken Protein Pot, chicken breast, brown rice, green beans, broccoli, cheddar cheese, social media ready, editorial food styling, soft natural light, shallow depth of field, crisp focus, clean background, vibrant but realistic colors, plated beautifully, minimal props, subtle garnish, hero shot, 45 degree angle, composition centered, 4:5 portrait, appetizing, lunch, high-protein","blurry, lowres, text, watermark, logo, people, hands, deformed, extra fingers, bad anatomy, oversaturated, messy plating"
