ID,Name,Meal,Tags,Servings,Ingredients,Method,Calories_per_serving,Protein_g_per_serving,Carbs_g_per_serving,Fat_g_per_serving,Fibre_g_per_serving,Allergen_and_diet_notes
12,Smoky Tempeh Breakfast Hash,Breakfast,Vgn DF P,2,200 g tempeh diced;200 g new potatoes diced;100 g red onion sliced;120 g red pepper diced;15 ml olive oil;1 tbsp smoked paprika;30 g baby spinach,Parboil potatoes 8 minutes drain;fry onion pepper and tempeh 6–8 minutes add potatoes and paprika cook until golden stir in spinach;serve hot,410.0,28.0,36.5,16.0,6.2,Contains soy; suitable for vegan and dairy-free diets
13,Berry Protein Smoothie Bowl,Breakfast,Vgn optional P,1,150 g frozen mixed berries;200 ml almond milk;30 g vanilla plant protein powder;30 g oats;15 g chia seeds;50 g banana,Blend all to thick consistency pour into bowl top with chia seeds and serve immediately,360.0,28.0,44.0,8.5,9.1,Contains oats and seeds; use dairy protein for higher protein if preferred
14,Savory Lentil Breakfast Porridge,Breakfast,Vgn GF P,2,120 g red lentils rinsed;600 ml vegetable stock low-salt;15 ml olive oil;70 g onion chopped;1 garlic clove minced;1 tsp ground cumin;30 g parsley,Sauté onion and garlic add lentils stock and cumin simmer 12–15 minutes until porridge like stir in parsley and serve,330.0,22.5,45.0,4.5,12.0,Naturally gluten-free; contains legumes
15,Smoked Trout Chive Scramble,Breakfast,P GF,1,100 g smoked trout flaked;2 large eggs;10 g butter;4 g chopped chives;40 g gluten-free toast,Melt butter scramble eggs until soft fold in trout and chives serve on toast,380.0,34.0,18.0,20.0,0.8,Contains fish and egg; use dairy-free butter for DF
16,Chia Hemp Power Bowl,Breakfast,Vgn GF P,1,30 g chia seeds;20 g hemp seeds;300 ml oat milk;15 ml maple syrup;100 g mixed berries;30 g granola,Mix chia hemp and oat milk refrigerate overnight stir and top with berries and granola before serving,420.0,22.0,38.0,18.5,12.6,Contains seeds and oats; use nut-free granola for NF
17,Savoury Oats with Runny Egg,Breakfast,Vgt P,1,60 g rolled oats;300 ml water;10 ml olive oil;30 g grated cheddar;1 large egg;4 g chopped chives,Cook oats until creamy stir in oil and cheddar top with runny egg and chives serve,360.0,20.5,40.0,12.0,5.2,Contains dairy and egg; use dairy-free cheese for DF
18,Seitan Sunrise Sausages,Breakfast,Vgn P,4,300 g seitan minced;15 ml olive oil;1 tsp smoked paprika;1 tsp dried sage;70 g grated onion;salt and pepper,Mix seitan spices and onion form sausages fry 6–8 minutes until browned and cooked through serve hot,220.0,18.0,6.0,12.0,1.5,Contains gluten; not suitable for coeliac
19,Cottage Cheese Flapjack Stack,Breakfast,Vgt P,2,150 g rolled oats;100 g low-fat cottage cheese;30 ml honey;120 g banana mashed;20 g chopped almonds;10 ml vegetable oil,Mix oats cottage cheese honey and banana to batter cook flapjacks 2–3 minutes each side stack and sprinkle almonds serve warm,390.0,26.0,48.0,12.5,5.8,Contains dairy and tree nuts; use dairy-free cottage cheese and omit nuts for DF NF
20,Black Bean Breakfast Tacos,Breakfast,Vgn P,2,120 g corn tortillas;200 g canned black beans drained;15 ml olive oil;1 tsp ground cumin;50 g salsa;50 g avocado diced;30 g coriander,Heat beans with cumin warm tortillas divide beans top with salsa avocado and coriander serve immediately,360.0,18.0,52.0,10.5,12.0,Contains legumes; naturally gluten-free if using corn tortillas
21,Protein French Toast Royale,Breakfast,Vgt P,2,160 g wholegrain bread;2 large eggs;100 ml semi-skimmed milk;30 g vanilla whey protein powder;10 g butter;50 g mixed berries,Whisk eggs milk and protein dip bread cook in butter 2–3 minutes each side top with berries serve,420.0,28.0,44.0,14.0,4.0,Contains egg dairy and gluten; use plant protein and plant milk and egg replacer for Vgn
22,Edamame Smash Avocado Toast,Breakfast,Vgn GF P,1,40 g gluten-free bread toasted;50 g shelled edamame cooked;50 g avocado mashed;5 ml lemon juice;10 g pumpkin seeds,"Smash the cooked edamame and avocado together with the lemon juice until mostly smooth. Spread the mixture evenly over the toasted bread, sprinkle with pumpkin seeds and serve immediately.",360.0,18.5,30.0,18.0,9.2,Contains soy and seeds; naturally gluten-free
23,Banana Peanut Power Toast,Breakfast,Vgn P NF optional,1,40 g wholegrain bread toasted;20 g peanut butter;100 g banana sliced;10 g chia seeds;5 ml honey,Spread peanut butter top with banana sprinkle chia and honey serve,380.0,16.0,44.0,16.5,6.1,Contains peanuts; use sunflower seed butter for nut-free option
24,Smoked Salmon Everything Bagel,Breakfast,P,1,100 g wholemeal bagel toasted;80 g smoked salmon;30 g cream cheese;10 g capers;40 g red onion sliced,Toast bagel spread cream cheese top with smoked salmon capers and red onion serve immediately,520.0,34.0,48.0,20.0,2.5,Contains fish and dairy
25,Miso Ginger Tofu Bowl,Breakfast,Vgn GF P,2,200 g firm tofu cubed;18 g white miso paste;15 ml soy sauce low-salt;1 tsp grated ginger;150 g cooked brown rice;50 g edamame;15 ml sesame oil,Marinate tofu in miso soy and ginger 10 minutes pan fry in sesame oil 6–8 minutes serve over rice with edamame,420.0,26.0,48.0,12.5,5.6,Contains soy and sesame; use tamari for GF if needed
26,Mini Egg Muffin Frittatas,Breakfast,P GF,6,300 g eggs whisked;100 g chopped spinach;50 g diced bell pepper;30 g grated cheddar;15 ml olive oil;salt and pepper,Preheat oven 180C whisk eggs stir in vegetables and cheese divide into muffin tin bake 15–18 minutes until set cool slightly serve,180.0,12.5,2.0,12.0,0.8,Contains egg and dairy; use dairy-free cheese for DF
27,Warm Lentil Breakfast Salad,Breakfast,Vgn GF P,2,150 g cooked green lentils;15 ml olive oil;70 g red onion sliced;50 g cherry tomatoes halved;30 g rocket;15 ml lemon juice,"Warm the cooked lentils gently in a pan with the olive oil and sliced red onion until heated through. Stir in the cherry tomatoes and rocket, drizzle with lemon juice, toss to coat and serve warm.",340.0,22.0,44.0,6.5,12.4,Naturally gluten-free; contains legumes
28,Cottage Cheese Fruit Medley,Breakfast,Vgt P,2,200 g low-fat cottage cheese;100 g pineapple chunks;100 g grapes halved;20 g chopped pistachios;15 ml honey,Divide cottage cheese top with fruit pistachios and honey serve chilled,300.0,28.0,30.0,8.0,2.9,Contains dairy and tree nuts; use dairy-free cottage cheese and omit nuts for DF NF
29,Protein Crepe Rolls,Breakfast,Vgt P,4,200 g plain flour;30 g unflavoured whey protein powder;2 large eggs;400 ml semi-skimmed milk;20 g melted butter;100 g smoked ham sliced;100 g low-fat cottage cheese,Whisk batter cook thin crepes fill with ham and cottage cheese roll and serve warm,320.0,22.0,36.0,9.5,1.6,Contains gluten dairy and egg; use plant protein and dairy-free fillings for Vgn
30,Savoury Chickpea Pancake Stack,Breakfast,Vgn GF P,2,180 g chickpea flour;300 ml water;1 tsp salt;1 tsp ground cumin;15 ml olive oil;100 g sautéed mushrooms,Whisk batter cook pancakes 2–3 minutes each side stack with mushrooms between layers serve hot,340.0,20.5,40.0,10.0,8.4,Contains chickpea; naturally gluten-free; suitable for vegan diets
31,Grilled Chicken Caesar Bowl,Lunch,P,2,200 g chicken breast grilled sliced;100 g romaine lettuce chopped;30 g grated parmesan;40 g wholegrain croutons;30 ml light Caesar dressing,Grill chicken slice and assemble with lettuce parmesan croutons and dressing toss and serve,420.0,38.5,18.0,18.0,2.5,Contains dairy and gluten; use GF croutons and dairy-free cheese for DF GF
32,Spicy Turkey Meatball Meal Prep,Lunch,P,4,500 g lean turkey mince;50 g breadcrumbs;1 egg;20 g grated onion;10 g chilli flakes;400 g canned tomatoes;200 g wholegrain pasta cooked,Form meatballs mix turkey breadcrumbs egg and spices bake 20 minutes simmer in tomatoes serve over pasta,430.0,32.0,42.0,14.0,3.2,Contains gluten and egg; use GF breadcrumbs for GF
33,Roasted Veg Quinoa Salad,Lunch,Vgn GF,4,200 g quinoa dry;400 ml water;300 g mixed root veg diced;30 ml olive oil;20 g pumpkin seeds;30 g rocket,Roast veg tossed in oil 30 minutes at 200C cook quinoa 12–15 minutes combine with veg seeds and rocket toss and serve,380.0,12.5,52.0,12.0,8.6,Naturally gluten-free; suitable for vegan diets
34,Beef and Broccoli Stir Fry,Lunch,P,2,300 g lean beef strips;200 g broccoli florets;15 ml soy sauce low-salt;10 ml sesame oil;1 tsp cornflour;100 g cooked brown rice,Stir fry beef in sesame oil 3–4 minutes add broccoli soy and cornflour sauce cook until tender serve over rice,480.0,36.0,46.0,14.5,4.2,Contains soy; use tamari for GF
35,Chickpea Tuna Style Salad,Lunch,Vgn GF,2,400 g canned chickpeas drained;50 g vegan mayo;30 g red onion chopped;50 g celery diced;15 ml lemon juice;20 g capers,Mash chickpeas mix with mayo onion celery lemon and capers chill and serve on salad leaves,360.0,18.0,36.0,14.0,9.6,Contains legumes; suitable for vegan diets
36,Salmon Poke Bowl,Lunch,P GF,2,200 g sushi grade salmon diced;150 g cooked sushi rice;50 g edamame;50 g cucumber diced;30 g pickled ginger;15 ml soy sauce low-salt;10 ml sesame oil,Assemble rice and top with salmon edamame cucumber and ginger drizzle with soy and sesame oil serve chilled,520.0,34.0,56.0,18.0,4.5,Contains fish and soy; use tamari for GF
37,Turkey Avocado Wrap,Lunch,P,1,120 g wholemeal wrap;100 g sliced turkey breast;50 g avocado mashed;30 g mixed salad leaves;15 ml light mayo,Spread avocado and mayo on wrap layer turkey and salad leaves roll and slice serve,420.0,30.0,36.0,18.0,7.2,Contains egg in mayo; use DF mayo for DF
38,Thai Peanut Tofu Noodles,Lunch,Vgn,2,200 g rice noodles cooked;200 g firm tofu cubed;30 g peanut butter;15 ml soy sauce;10 ml lime juice;15 ml sesame oil;50 g shredded carrot,Whisk peanut soy lime and sesame toss with noodles tofu and carrot serve warm or chilled,520.0,26.0,64.0,20.0,6.8,Contains peanuts and soy; use sunflower seed butter for nut-free
39,Greek Chicken Meal Prep Bowl,Lunch,P GF,4,400 g chicken breast grilled sliced;200 g cooked farro;100 g cherry tomatoes halved;50 g cucumber diced;50 g feta crumbled;30 ml olive oil;15 ml lemon juice,Assemble bowls with grains chicken and veg top with feta and dressing serve,460.0,36.0,44.0,14.5,3.8,Contains dairy; use dairy-free feta for DF
40,Lentil Bolognese with Spaghetti,Lunch,Vgt,4,300 g red lentils cooked;400 g canned tomatoes;1 carrot grated;1 celery stalk diced;1 onion chopped;200 g wholegrain spaghetti cooked;15 ml olive oil,Sauté veg add lentils and tomatoes simmer 20 minutes serve over spaghetti,420.0,28.0,62.0,8.5,14.0,Contains gluten if using wheat pasta; use GF pasta for GF
41,Chicken Shawarma Bowl,Lunch,P,2,300 g chicken thigh marinated;150 g cooked bulgur;50 g pickled cucumber;30 g hummus;15 ml tahini sauce,Grill marinated chicken slice assemble with bulgur pickles hummus and tahini serve,540.0,38.0,48.0,20.0,5.0,Contains sesame and gluten in bulgur; use quinoa for GF
42,Black Bean Burrito Bowl,Lunch,Vgn GF,2,200 g black beans cooked;150 g brown rice cooked;50 g corn;50 g salsa;50 g avocado diced;15 ml lime juice,Assemble rice beans corn salsa and avocado drizzle lime serve,460.0,18.0,72.0,12.0,14.5,Contains legumes; naturally gluten-free
43,Teriyaki Salmon Meal Prep,Lunch,P,2,300 g salmon fillets;60 ml teriyaki sauce;200 g broccoli steamed;150 g cooked jasmine rice,Marinate salmon in teriyaki 10 minutes bake 12–15 minutes serve with rice and broccoli,520.0,36.0,48.0,20.0,3.5,Contains fish and soy; use GF tamari for GF
44,Quinoa Black Bean Stuffed Peppers,Lunch,Vgn GF,4,200 g quinoa cooked;400 g black beans drained;4 large bell peppers halved and seeded;100 g corn;15 ml olive oil;spices,Mix quinoa beans corn and spices stuff peppers bake 25–30 minutes until tender serve,380.0,14.0,56.0,8.0,12.0,Naturally gluten-free; suitable for vegan diets
45,Chicken Caesar Wrap Meal Prep,Lunch,P,4,400 g grilled chicken sliced;4 wholemeal wraps;200 g romaine lettuce;60 g grated parmesan;60 ml light Caesar dressing,Assemble wraps with chicken lettuce parmesan and dressing roll and wrap in foil for meal prep,480.0,36.0,40.0,16.0,3.0,Contains dairy and gluten; use GF wrap and dairy-free cheese for DF GF
46,Spiced Lamb Kofta Bowl,Lunch,P,2,300 g lean lamb mince;1 tsp ground cumin;1 tsp ground coriander;1 garlic clove minced;150 g cooked couscous;50 g tzatziki,Form koftas grill 8–10 minutes serve over couscous with tzatziki and salad,560.0,34.0,44.0,26.0,2.8,Contains dairy in tzatziki; use dairy-free alternative for DF
47,Roasted Cauliflower Tahini Salad,Lunch,Vgn GF,2,600 g cauliflower florets;30 ml olive oil;30 g tahini;15 ml lemon juice;50 g parsley;30 g pomegranate seeds,"Roast the cauliflower florets in olive oil at 200°C for 25–30 minutes until golden and tender. Whisk the tahini with lemon juice and a splash of water to loosen. Toss the warm cauliflower with the tahini dressing and chopped parsley, top with pomegranate seeds and serve.",360.0,10.5,28.0,22.0,9.4,Contains sesame; naturally gluten-free
48,Beetroot Feta Grain Bowl,Lunch,Vgt,2,150 g cooked barley;200 g roasted beetroot;50 g crumbled feta;30 g walnuts;30 g rocket;15 ml balsamic dressing,Assemble barley beetroot feta walnuts and rocket drizzle dressing serve,420.0,18.0,48.0,14.5,6.2,Contains dairy and tree nuts; use dairy-free feta and omit nuts for DF NF
49,Spicy Prawn and Avocado Salad,Lunch,P GF,2,200 g cooked prawns;100 g avocado diced;100 g mixed salad leaves;30 g cherry tomatoes;15 ml lime juice;10 ml olive oil,Toss all ingredients together and serve chilled,340.0,28.0,8.0,20.0,5.0,Contains shellfish; naturally gluten-free
50,Vegetable Korma with Brown Rice,Lunch,Vgt GF,4,400 g mixed veg;200 g coconut milk light;20 g korma paste;200 g brown rice cooked;15 ml oil,Sauté veg add korma paste and coconut milk simmer 12–15 minutes serve with rice,480.0,10.0,64.0,20.0,8.0,Contains coconut; naturally gluten-free
51,Chicken Fajita Meal Prep,Lunch,P,4,400 g chicken strips;2 bell peppers sliced;1 onion sliced;8 small tortillas;15 ml fajita seasoning;15 ml olive oil,Sauté chicken peppers and onion with seasoning warm tortillas assemble and pack,420.0,34.0,40.0,12.0,4.5,Contains gluten in tortillas; use GF tortillas for GF
52,Spinach Ricotta Stuffed Chicken,Lunch,P GF,2,300 g chicken breast butterflied;100 g ricotta;50 g spinach wilted;10 g parmesan;15 ml olive oil,Stuff chicken with ricotta spinach and parmesan secure bake 25–30 minutes until cooked through serve,460.0,44.0,6.0,24.0,1.2,Contains dairy; use dairy-free ricotta for DF
53,Thai Green Curry with Tofu,Lunch,Vgn GF,4,400 g firm tofu cubed;400 ml light coconut milk;40 g green curry paste;200 g mixed veg;200 g jasmine rice cooked,Simmer curry paste coconut milk add tofu and veg cook 10–12 minutes serve with rice,480.0,24.0,56.0,18.0,6.5,Contains coconut; naturally gluten-free
54,Beef Burrito Bowl Meal Prep,Lunch,P,4,500 g lean beef mince;200 g black beans;200 g brown rice cooked;100 g corn;50 g salsa;15 ml olive oil,Sauté beef add beans and spices assemble bowls with rice corn and salsa pack for meal prep,520.0,36.0,60.0,16.0,8.0,Contains legumes
55,Roasted Pumpkin and Feta Salad,Lunch,Vgt GF,2,400 g pumpkin diced roasted;50 g feta crumbled;30 g pumpkin seeds;30 g spinach;15 ml olive oil;15 ml balsamic,Assemble roasted pumpkin feta seeds and spinach drizzle dressing serve,380.0,12.0,28.0,22.0,6.5,Contains dairy and seeds; use dairy-free feta for DF
56,Spaghetti Puttanesca Meal Prep,Lunch,P,4,400 g wholegrain spaghetti cooked;200 g canned tomatoes;80 g olives sliced;30 g capers;2 garlic cloves minced;15 ml olive oil,Sauté garlic add tomatoes olives and capers simmer 8–10 minutes toss with spaghetti and pack,420.0,14.0,68.0,10.0,6.0,Contains gluten; use GF pasta for GF
57,Grilled Halloumi and Couscous Salad,Lunch,Vgt,2,200 g halloumi sliced;150 g cooked couscous;100 g cherry tomatoes;30 g mint;15 ml olive oil,Grill halloumi until golden assemble with couscous tomatoes and mint drizzle oil serve,480.0,28.0,44.0,20.0,3.5,Contains dairy; use grilled tofu for DF
58,Chicken Tikka Masala Meal Prep,Lunch,P,4,600 g chicken breast diced;200 g tikka masala sauce;200 g cooked basmati rice;15 ml oil,Marinate and cook chicken in sauce simmer 12–15 minutes serve with rice pack into containers,520.0,40.0,56.0,14.0,3.0,Contains dairy in sauce; use dairy-free sauce for DF
59,Roasted Salmon and Asparagus,Lunch,P GF,2,300 g salmon fillets;200 g asparagus trimmed;15 ml olive oil;15 ml lemon juice,Roast salmon and asparagus 12–15 minutes at 200C drizzle lemon and serve,420.0,36.0,4.0,26.0,1.8,Contains fish; naturally gluten-free
60,Vegetable Stir Fry with Tempeh,Lunch,Vgn,2,200 g tempeh sliced;300 g mixed stir fry veg;100 g udon noodles cooked;30 ml soy sauce;15 ml sesame oil,Stir fry tempeh and veg add noodles and sauce toss and serve,520.0,28.0,64.0,18.0,7.0,Contains soy and wheat in udon; use rice noodles for GF
61,Chicken and Sweet Potato Traybake,Dinner,P,4,600 g chicken thighs;600 g sweet potato chunks;200 g green beans;30 ml olive oil;rosemary and paprika,Toss all on tray roast 35–40 minutes until cooked through serve,560.0,38.0,48.0,22.0,7.5,Contains none common; naturally gluten-free
62,Beef Chili Con Carne,Dinner,P,6,800 g lean beef mince;400 g canned tomatoes;200 g kidney beans drained;1 onion chopped;2 garlic cloves minced;15 ml olive oil;chili powder,Sauté onion and garlic add beef brown add tomatoes beans and spices simmer 30 minutes serve,480.0,36.0,36.0,18.0,10.5,Contains legumes
63,Roasted Vegetable Lasagne,Dinner,Vgt,6,300 g lasagne sheets;400 g ricotta;400 g roasted veg mix;200 g tomato sauce;50 g parmesan,Layer lasagne with ricotta roasted veg and sauce bake 35–40 minutes until set serve,520.0,24.0,56.0,20.0,6.0,Contains gluten and dairy; use GF sheets and dairy-free cheese for DF GF
64,Seared Tuna Niçoise Salad,Dinner,P GF,2,200 g tuna steak seared;150 g new potatoes boiled;100 g green beans blanched;50 g cherry tomatoes;2 boiled eggs;15 ml olive oil,Assemble salad with tuna potatoes beans tomatoes and sliced eggs drizzle oil serve,420.0,36.0,28.0,18.0,4.0,Contains fish and egg; naturally gluten-free
65,Vegetarian Moussaka,Dinner,Vgt,6,400 g aubergine slices roasted;300 g potato slices parboiled;400 g lentil ragu;200 g béchamel sauce;30 g parmesan,Layer potatoes aubergine and lentil ragu top with béchamel and parmesan bake 35–40 minutes serve,480.0,22.0,52.0,18.0,8.0,Contains dairy; use dairy-free béchamel for DF
66,Spicy Prawn Linguine,Dinner,P,2,200 g prawns peeled;150 g linguine cooked;200 g canned tomatoes;15 ml olive oil;1 garlic clove minced;chili flakes,Sauté garlic add prawns tomatoes and chili simmer 3–4 minutes toss with linguine serve,520.0,34.0,64.0,12.0,3.0,Contains shellfish and gluten; use GF pasta for GF
67,Slow Cooker Pulled Pork Meal Prep,Dinner,P,6,1.5 kg pork shoulder;200 ml apple juice;30 g BBQ rub;150 g coleslaw mix;6 burger buns,Slow cook pork with apple juice and rub 6–8 hours shred serve with coleslaw on buns pack,620.0,42.0,48.0,28.0,2.5,Contains gluten in buns; use GF buns for GF
68,Stuffed Aubergine with Quinoa,Dinner,Vgn GF,4,2 large aubergines halved;200 g quinoa cooked;200 g chickpeas;100 g tomato sauce;15 ml olive oil,Scoop aubergine roast 20 minutes mix quinoa chickpeas and sauce stuff aubergine bake 15 minutes serve,380.0,14.0,44.0,12.0,10.2,Naturally gluten-free; suitable for vegan diets
69,Chicken and Mushroom Stroganoff,Dinner,P,4,500 g chicken breast sliced;200 g mushrooms sliced;200 ml light crème fraîche;15 ml mustard;200 g wholegrain rice cooked,Sauté chicken and mushrooms add crème fraîche and mustard simmer 6–8 minutes serve with rice,520.0,38.0,46.0,18.0,2.5,Contains dairy; use dairy-free crème fraîche for DF
70,Vegetable Paella,Dinner,Vgn GF,4,300 g bomba rice;800 ml vegetable stock;200 g mixed veg;15 ml olive oil;1 tsp smoked paprika,Sauté veg add rice stock and paprika simmer 18–20 minutes until rice cooked serve,420.0,10.0,72.0,8.0,6.5,Naturally gluten-free; suitable for vegan diets
71,Grilled Steak and Chimichurri,Dinner,P GF,2,400 g sirloin steak;30 g chimichurri sauce;200 g roasted potatoes;100 g green salad,Grill steak to preference rest slice serve with chimichurri potatoes and salad,620.0,48.0,36.0,30.0,3.0,Contains none common; naturally gluten-free
72,Butternut Squash Risotto,Dinner,Vgt GF optional,4,300 g arborio rice;1 L vegetable stock;400 g butternut squash diced;30 g parmesan;15 ml olive oil,Sauté squash add rice and gradually add stock stirring until creamy stir in parmesan serve,480.0,12.0,78.0,12.0,6.0,Contains dairy; use dairy-free cheese for DF
73,Chicken Katsu Curry,Dinner,P,4,400 g chicken breast breaded;200 g panko breadcrumbs;200 g katsu curry sauce;300 g cooked rice,Coat chicken in breadcrumbs shallow fry or bake until cooked slice serve with katsu sauce and rice,620.0,36.0,72.0,20.0,3.0,Contains gluten and egg; use GF crumbs for GF
74,Spinach and Ricotta Cannelloni,Dinner,Vgt,4,250 g cannelloni tubes;400 g ricotta;200 g spinach wilted;400 g tomato sauce;30 g parmesan,Fill cannelloni with ricotta and spinach place in sauce top with parmesan bake 30–35 minutes serve,520.0,22.0,60.0,18.0,5.0,Contains gluten and dairy; use GF tubes and dairy-free cheese for DF GF
75,Seared Duck Breast with Orange Glaze,Dinner,P GF,2,400 g duck breast;60 ml orange juice;15 g honey;200 g roasted root veg,Score duck skin sear skin side 6–8 minutes finish in oven 6–8 minutes rest slice glaze with reduced orange and honey serve with veg,640.0,44.0,28.0,36.0,3.0,Contains none common; naturally gluten-free
76,Spiced Chickpea and Spinach Curry,Dinner,Vgn GF,4,400 g chickpeas cooked;200 g spinach;200 g canned tomatoes;15 ml oil;spices simmer 12–15 minutes serve with rice,420.0,18.0,56.0,12.0,14.0,Naturally gluten-free; contains legumes,
77,Pan Roasted Cod with Herb Crust,Dinner,P GF,2,300 g cod fillets;20 g herb crumb mix;15 ml olive oil;200 g new potatoes boiled,Coat cod with herb crumb sear and finish in oven 8–10 minutes serve with potatoes,420.0,36.0,28.0,12.0,2.0,Contains fish and gluten in crumb; use GF crumb for GF
78,Vegetable and Halloumi Skewers,Dinner,Vgt GF,4,300 g halloumi cubes;300 g mixed veg chunks;30 ml olive oil;15 ml lemon juice,Thread halloumi and veg onto skewers brush with oil and lemon grill 8–10 minutes serve,480.0,28.0,28.0,28.0,4.0,Contains dairy; use tofu for DF
79,Beef Stroganoff with Mushrooms,Dinner,P,4,500 g beef strips;200 g mushrooms;200 ml sour cream;15 ml mustard;300 g egg noodles cooked,Sauté beef and mushrooms add sour cream and mustard simmer 3–4 minutes toss with noodles serve,560.0,36.0,56.0,20.0,3.0,Contains dairy and egg noodles; use DF cream and GF pasta for DF GF
80,Roasted Vegetable and Pesto Tart,Dinner,Vgt,6,1 sheet puff pastry;400 g roasted veg;60 g pesto;30 g goat cheese crumble,Spread pesto on pastry top with roasted veg and goat cheese bake 25–30 minutes until golden serve,520.0,12.0,56.0,28.0,5.0,Contains gluten and dairy; use DF cheese and GF pastry for DF GF
81,Slow Cooker Moroccan Lamb Tagine,Dinner,P,6,1 kg lamb shoulder;200 g dried apricots;100 g prunes;2 onions chopped;400 g canned tomatoes;spices slow cook 6–8 hours serve with couscous,640.0,42.0,48.0,28.0,6.0,Contains none common; couscous contains gluten use quinoa for GF,
